127.0.0.1 - - [30/Dec/2019:16:03:41 +0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:03:42 +0300] "GET /Content/backend/img/brand/logos.svg HTTP/1.1" 200 10706
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:03:42 +0300] "GET /Content/backend/img/tz-animate.gif HTTP/1.1" 200 20909
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:03:42 +0300] "GET /Content/backend/img/avatars/6.jpg HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:03:42 +0300] "GET /Content/backend/img/avatars/7.jpg HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:03:42 +0300] "GET /Content/backend/img/avatars/4.jpg HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:03:42 +0300] "GET /Content/backend/img/avatars/2.jpg HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:03:42 +0300] "GET /Content/backend/img/avatars/3.jpg HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:03:42 +0300] "GET /Content/backend/img/avatars/5.jpg HTTP/1.1" 200 19058
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:03:42 +0300] "GET /Content/backend/img/avatars/8.jpg HTTP/1.1" 200 20466
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:03:42 +0300] "GET /Content/backend/node_modules/simple-line-icons/fonts/Simple-Line-Icons.eot?v=2.4.0 HTTP/1.1" 200 54266
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/index.jsp HTTP/1.1" 200 31547
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/css/rowReorder.dataTables.min.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/css/dataTables.bootstrap4.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/vendors/pace-progress/css/pace.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/css/ourcustom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/css/newjquery.dataTables.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/img/brand/logos.svg HTTP/1.1" 200 10706
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/img/brand/sygnet.svg HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/img/avatars/7.jpg HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/img/tz-animate.gif HTTP/1.1" 200 20909
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/img/avatars/6.jpg HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/img/avatars/4.jpg HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/img/avatars/2.jpg HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/img/avatars/3.jpg HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/img/avatars/8.jpg HTTP/1.1" 200 20466
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/img/avatars/5.jpg HTTP/1.1" 200 19058
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/pace-progress/pace.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/perfect-scrollbar/dist/perfect-scrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/@coreui/coreui/dist/js/coreui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/chart.js/dist/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/@coreui/coreui-plugin-chartjs-custom-tooltips/dist/js/custom-tooltips.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/js/newjquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/js/dataTables.rowReorder.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/node_modules/simple-line-icons/fonts/Simple-Line-Icons.woff2?v=2.4.0 HTTP/1.1" 200 30064
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:12 +0300] "GET /Content/backend/img/tcra-logo.png HTTP/1.1" 200 184187
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:16 +0300] "GET /Content/backend/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 33818
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:16 +0300] "GET /Content/backend/vendors/pace-progress/css/pace.min.css HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:16 +0300] "GET /Content/backend/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:16 +0300] "GET /Content/backend/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 200 12958
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:16 +0300] "GET /Content/backend/css/rowReorder.dataTables.min.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:16 +0300] "GET /Content/backend/newsIndexCard.jsp HTTP/1.1" 200 54793
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:16 +0300] "GET /Content/backend/node_modules/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:16 +0300] "GET /Content/backend/ HTTP/1.1" 200 31547
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:16 +0300] "GET /Content/backend/ HTTP/1.1" 200 31547
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:16 +0300] "GET /Content/backend/img/tcra-logo.png HTTP/1.1" 200 184187
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:34 +0300] "GET /Content/backend/channel-tv.jsp HTTP/1.1" 200 14765
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:36 +0300] "GET /Content/backend/channel-radio.jsp HTTP/1.1" 200 27802
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:36 +0300] "GET /Content/backend/img/logo/radione.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:36 +0300] "GET /Content/backend/img/logo/efm.PNG HTTP/1.1" 200 240838
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:36 +0300] "GET /Content/backend/img/live.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:36 +0300] "GET /Content/backend/snd/snd1.mp3 HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:36 +0300] "GET /Content/backend/snd/snd1.mp3 HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:36 +0300] "GET /Content/backend/images/sort_both.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:36 +0300] "GET /Content/backend/images/sort_asc.png HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:38 +0300] "GET /Content/backend/library.jsp HTTP/1.1" 200 28962
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:43 +0300] "GET /Content/backend/newsIndexCard.jsp HTTP/1.1" 200 54793
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:43 +0300] "GET /Content/backend/ HTTP/1.1" 200 31547
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:43 +0300] "GET /Content/backend/ HTTP/1.1" 200 31547
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:47 +0300] "GET /Content/backend/search.jsp HTTP/1.1" 200 38474
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:47 +0300] "GET /Content/backend/ HTTP/1.1" 200 31547
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:47 +0300] "GET /Content/backend/ HTTP/1.1" 200 31547
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:51 +0300] "POST /Content/backend/channel.jsp HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:04:59 +0300] "GET /Content/backend/programLineup.jsp HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:05:03 +0300] "GET /Content/backend/search.jsp HTTP/1.1" 200 38474
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:05:04 +0300] "GET /Content/backend/ HTTP/1.1" 200 31547
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:05:04 +0300] "GET /Content/backend/ HTTP/1.1" 200 31547
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:05:06 +0300] "GET /Content/backend/alert.jsp HTTP/1.1" 200 27186
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:05:06 +0300] "GET /Content/backend/images/sort_both.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:05:06 +0300] "GET /Content/backend/images/sort_asc.png HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:05:57 +0300] "GET /Content/backend/newsIndexCard.jsp HTTP/1.1" 200 54793
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:05:57 +0300] "GET /Content/backend/ HTTP/1.1" 200 31547
0:0:0:0:0:0:0:1 - - [30/Dec/2019:16:05:57 +0300] "GET /Content/backend/ HTTP/1.1" 200 31547
