0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/css/newjquery.dataTables.min.css HTTP/1.1" 200 13901
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/img/brand/sygnet.svg HTTP/1.1" 200 1460
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/img/brand/logos.svg HTTP/1.1" 200 10843
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/img/tz-animate.gif HTTP/1.1" 200 20909
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/img/avatars/6.jpg HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/img/avatars/7.jpg HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/img/avatars/4.jpg HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/img/avatars/2.jpg HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/img/avatars/3.jpg HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/img/avatars/5.jpg HTTP/1.1" 200 19058
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/img/avatars/8.jpg HTTP/1.1" 200 20466
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/node_modules/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/node_modules/simple-line-icons/fonts/Simple-Line-Icons.woff2?v=2.4.0 HTTP/1.1" 200 30064
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:16:54 +0300] "GET /Content/img/tcra-logo.png HTTP/1.1" 200 184187
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:18:50 +0300] "GET /Content/search.jsp HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:18:50 +0300] "GET /Content/search.jsp HTTP/1.1" 200 33043
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:18:50 +0300] "GET /Content/img/brand/logos.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2019:10:18:50 +0300] "GET /Content/img/avatars/7.jpg HTTP/1.1" 304 -
