127.0.0.1 - - [18/Mar/2020:15:06:18 +0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:19 +0300] "GET /Content/backend/index.jsp HTTP/1.1" 200 4292
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:19 +0300] "GET /Content/backend/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:19 +0300] "GET /Content/backend/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 33818
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:19 +0300] "GET /Content/backend/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:19 +0300] "GET /Content/backend/node_modules/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 200 12958
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:19 +0300] "GET /Content/backend/css/style.css HTTP/1.1" 200 335748
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:19 +0300] "GET /Content/backend/vendors/pace-progress/css/pace.min.css HTTP/1.1" 200 1731
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:19 +0300] "GET /Content/backend/img/tcra-logo.png HTTP/1.1" 200 184187
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:19 +0300] "GET /Content/backend/node_modules/simple-line-icons/fonts/Simple-Line-Icons.eot?v=2.4.0 HTTP/1.1" 200 54266
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:36 +0300] "GET /Content/backend/index.jsp HTTP/1.1" 200 4292
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:37 +0300] "GET /Content/backend/node_modules/@coreui/icons/css/coreui-icons.min.css HTTP/1.1" 200 4692
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:37 +0300] "GET /Content/backend/node_modules/flag-icon-css/css/flag-icon.min.css HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:37 +0300] "GET /Content/backend/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:37 +0300] "GET /Content/backend/node_modules/simple-line-icons/fonts/Simple-Line-Icons.woff2?v=2.4.0 HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "POST /Content/backend/login-action.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/img/brand/tcra-logo.svg HTTP/1.1" 200 249826
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/img/brand/sygnet.svg HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/img/tz-animate.gif HTTP/1.1" 200 20909
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/img/tcms-user.jpg HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/dashboard.jsp HTTP/1.1" 200 39729
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/img/avatars/7.jpg HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/img/avatars/4.jpg HTTP/1.1" 200 2580
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/img/avatars/2.jpg HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/img/avatars/3.jpg HTTP/1.1" 200 1645
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/img/avatars/6.jpg HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/img/avatars/5.jpg HTTP/1.1" 200 19058
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/img/avatars/8.jpg HTTP/1.1" 200 20466
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:45 +0300] "GET /Content/backend/js/highcharts/modules/exporting.js HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:46 +0300] "GET /Content/backend/js/highcharts/modules/export-data.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:46 +0300] "GET /Content/backend/js/highcharts/modules/exporting.js HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:46 +0300] "GET /Content/backend/js/highcharts/modules/export-data.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:46 +0300] "GET /Content/backend/img/tcra-logo.png HTTP/1.1" 200 184187
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:48 +0300] "GET /Content/backend/channel-tv.jsp HTTP/1.1" 200 32772
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:48 +0300] "GET /Content/backend/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:48 +0300] "GET /Content/backend/js/highcharts/modules/exporting.js HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:48 +0300] "GET /Content/backend/js/highcharts/modules/export-data.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:48 +0300] "GET /Content/backend/js/highcharts/modules/exporting.js HTTP/1.1" 404 1144
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:48 +0300] "GET /Content/backend/js/highcharts/modules/export-data.js HTTP/1.1" 404 1146
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:50 +0300] "POST /Content/backend/actions/components/channelTVAction.jsp HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:52 +0300] "GET /Content/backend/img/livestream1.png HTTP/1.1" 200 75710
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:52 +0300] "GET /Content/backend/undefined HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:06:58 +0300] "POST /Content/backend/actions/components/channelTVAction.jsp HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [18/Mar/2020:15:07:00 +0300] "GET /Content/backend/undefined HTTP/1.1" 404 1107
